Time	position_x	position_y
0.001	0.429	1041.996
0.001	0.430	1042.092
0.001	0.431	1042.188
0.001	0.432	1042.283
0.001	0.433	1042.379
0.001	0.434	1042.475
0.001	0.435	1042.571
0.001	0.436	1042.666
0.001	0.437	1042.762
0.001	0.438	1042.858
0.001	0.439	1042.954
0.001	0.440	1043.049
0.001	0.441	1043.145
0.001	0.442	1043.241
0.001	0.443	1043.336
0.001	0.444	1043.432
0.001	0.445	1043.527
0.001	0.446	1043.623
0.001	0.447	1043.719
0.001	0.448	1043.814
0.001	0.449	1043.910
0.001	0.450	1044.006
0.001	0.451	1044.101
0.001	0.452	1044.197
0.001	0.453	1044.292
0.001	0.454	1044.388
0.001	0.455	1044.483
0.001	0.456	1044.579
0.001	0.457	1044.674
0.001	0.458	1044.770
0.001	0.459	1044.865
0.001	0.460	1044.961
0.001	0.461	1045.056
0.001	0.462	1045.152
0.001	0.463	1045.247
0.001	0.464	1045.343
0.001	0.465	1045.438
0.001	0.466	1045.534
0.001	0.467	1045.629
0.001	0.468	1045.724
0.001	0.469	1045.820
0.001	0.470	1045.915
0.001	0.471	1046.011
0.001	0.472	1046.106
0.001	0.473	1046.201
0.001	0.474	1046.297
0.001	0.475	1046.392
0.001	0.476	1046.487
0.001	0.477	1046.583
0.001	0.478	1046.678
0.001	0.479	1046.773
0.001	0.480	1046.869
0.001	0.481	1046.964
0.001	0.482	1047.059
0.001	0.483	1047.155
0.001	0.484	1047.250
0.001	0.485	1047.345
0.001	0.486	1047.440
0.001	0.487	1047.535
0.001	0.488	1047.631
0.001	0.489	1047.726
0.001	0.490	1047.821
0.001	0.491	1047.916
0.001	0.492	1048.011
0.001	0.493	1048.107
0.001	0.494	1048.202
0.001	0.495	1048.297
0.001	0.496	1048.392
0.001	0.497	1048.487
0.001	0.498	1048.582
0.001	0.499	1048.677
0.001	0.500	1048.773
0.001	0.501	1048.868
0.001	0.502	1048.963
0.001	0.503	1049.058
0.001	0.504	1049.153
0.001	0.505	1049.248
0.001	0.506	1049.343
0.001	0.507	1049.438
0.001	0.508	1049.533
0.001	0.509	1049.628
0.001	0.510	1049.723
0.001	0.511	1049.818
0.001	0.512	1049.913
0.001	0.513	1050.008
0.001	0.514	1050.103
0.001	0.515	1050.198
0.001	0.516	1050.293
0.001	0.517	1050.388
0.001	0.518	1050.483
0.001	0.519	1050.578
0.001	0.520	1050.672
0.001	0.521	1050.767
0.001	0.522	1050.862
0.001	0.523	1050.957
0.001	0.524	1051.052
0.001	0.525	1051.147
0.001	0.526	1051.242
0.001	0.527	1051.337
0.001	0.528	1051.431
0.001	0.529	1051.526
0.001	0.530	1051.621
0.001	0.531	1051.716
0.001	0.532	1051.811
0.001	0.533	1051.905
0.001	0.534	1052.000
0.001	0.535	1052.095
0.001	0.536	1052.190
0.001	0.537	1052.284
0.001	0.538	1052.379
0.001	0.539	1052.474
0.001	0.540	1052.569
0.001	0.541	1052.663
0.001	0.542	1052.758
0.001	0.543	1052.853
0.001	0.544	1052.947
0.001	0.545	1053.042
0.001	0.546	1053.137
0.001	0.547	1053.231
0.001	0.548	1053.326
0.001	0.549	1053.420
0.001	0.550	1053.515
0.001	0.551	1053.610
0.001	0.552	1053.704
0.001	0.553	1053.799
0.001	0.554	1053.893
0.001	0.555	1053.988
0.001	0.556	1054.083
0.001	0.557	1054.177
0.001	0.558	1054.272
0.001	0.559	1054.366
0.001	0.560	1054.461
0.001	0.561	1054.555
0.001	0.562	1054.650
0.001	0.563	1054.744
0.001	0.564	1054.839
0.001	0.565	1054.933
0.001	0.566	1055.027
0.001	0.567	1055.122
0.001	0.568	1055.216
0.001	0.569	1055.311
0.001	0.570	1055.405
0.001	0.571	1055.500
0.001	0.572	1055.594
0.001	0.573	1055.688
0.001	0.574	1055.783
0.001	0.575	1055.877
0.001	0.576	1055.971
0.001	0.577	1056.066
0.001	0.578	1056.160
0.001	0.579	1056.254
0.001	0.580	1056.349
0.001	0.581	1056.443
0.001	0.582	1056.537
0.001	0.583	1056.632
0.001	0.584	1056.726
0.001	0.585	1056.820
0.001	0.586	1056.914
0.001	0.587	1057.009
0.001	0.588	1057.103
0.001	0.589	1057.197
0.001	0.590	1057.291
0.001	0.591	1057.386
0.001	0.592	1057.480
0.001	0.593	1057.574
0.001	0.594	1057.668
0.001	0.595	1057.762
0.001	0.596	1057.857
0.001	0.597	1057.951
0.001	0.598	1058.045
0.001	0.599	1058.139
0.001	0.600	1058.233
0.001	0.601	1058.327
0.001	0.602	1058.421
0.001	0.603	1058.515
0.001	0.604	1058.609
0.001	0.605	1058.704
0.001	0.606	1058.798
0.001	0.607	1058.892
0.001	0.608	1058.986
0.001	0.609	1059.080
0.001	0.610	1059.174
0.001	0.611	1059.268
0.001	0.612	1059.362
0.001	0.613	1059.456
0.001	0.614	1059.550
0.001	0.615	1059.644
0.001	0.616	1059.738
0.001	0.617	1059.832
0.001	0.618	1059.926
0.001	0.619	1060.019
0.001	0.620	1060.113
0.001	0.621	1060.207
0.001	0.622	1060.301
0.001	0.623	1060.395
0.001	0.624	1060.489
0.001	0.625	1060.583
0.001	0.626	1060.677
0.001	0.627	1060.771
0.001	0.628	1060.864
0.001	0.629	1060.958
0.001	0.630	1061.052
0.001	0.631	1061.146
0.001	0.632	1061.240
0.001	0.633	1061.334
0.001	0.634	1061.427
0.001	0.635	1061.521
0.001	0.636	1061.615
0.001	0.637	1061.709
0.001	0.638	1061.802
0.001	0.639	1061.896
0.001	0.640	1061.990
0.001	0.641	1062.084
0.001	0.642	1062.177
0.001	0.643	1062.271
0.001	0.644	1062.365
0.001	0.645	1062.458
0.001	0.646	1062.552
0.001	0.647	1062.646
0.001	0.648	1062.739
0.001	0.649	1062.833
0.001	0.650	1062.927
0.001	0.651	1063.020
0.001	0.652	1063.114
0.001	0.653	1063.207
0.001	0.654	1063.301
0.001	0.655	1063.395
0.001	0.656	1063.488
0.001	0.657	1063.582
0.001	0.658	1063.675
0.001	0.659	1063.769
0.001	0.660	1063.862
0.001	0.661	1063.956
0.001	0.662	1064.049
0.001	0.663	1064.143
0.001	0.664	1064.236
0.001	0.665	1064.330
0.001	0.666	1064.423
0.001	0.667	1064.517
0.001	0.668	1064.610
0.001	0.669	1064.704
0.001	0.670	1064.797
0.001	0.671	1064.891
0.001	0.672	1064.984
0.001	0.673	1065.077
0.001	0.674	1065.171
0.001	0.675	1065.264
0.001	0.676	1065.358
0.001	0.677	1065.451
0.001	0.678	1065.544
0.001	0.679	1065.638
0.001	0.680	1065.731
0.001	0.681	1065.824
0.001	0.682	1065.918
0.001	0.683	1066.011
0.001	0.684	1066.104
0.001	0.685	1066.197
0.001	0.686	1066.291
0.001	0.687	1066.384
0.001	0.688	1066.477
0.001	0.689	1066.570
0.001	0.690	1066.664
0.001	0.691	1066.757
0.001	0.692	1066.850
0.001	0.693	1066.943
0.001	0.694	1067.037
0.001	0.695	1067.130
0.001	0.696	1067.223
0.001	0.697	1067.316
0.001	0.698	1067.409
0.001	0.699	1067.502
0.001	0.700	1067.596
0.001	0.701	1067.689
0.001	0.702	1067.782
0.001	0.703	1067.875
0.001	0.704	1067.968
0.001	0.705	1068.061
0.001	0.706	1068.154
0.001	0.707	1068.247
0.001	0.708	1068.340
0.001	0.709	1068.433
0.001	0.710	1068.526
0.001	0.711	1068.619
0.001	0.712	1068.712
0.001	0.713	1068.805
0.001	0.714	1068.899
0.001	0.715	1068.991
0.001	0.716	1069.084
0.001	0.717	1069.177
0.001	0.718	1069.270
0.001	0.719	1069.363
0.001	0.720	1069.456
0.001	0.721	1069.549
0.001	0.722	1069.642
0.001	0.723	1069.735
0.001	0.724	1069.828
0.001	0.725	1069.921
0.001	0.726	1070.014
0.001	0.727	1070.107
0.001	0.728	1070.200
0.001	0.729	1070.292
0.001	0.730	1070.385
0.001	0.731	1070.478
0.001	0.732	1070.571
0.001	0.733	1070.664
0.001	0.734	1070.756
0.001	0.735	1070.849
0.001	0.736	1070.942
0.001	0.737	1071.035
0.001	0.738	1071.128
0.001	0.739	1071.220
0.001	0.740	1071.313
0.001	0.741	1071.406
0.001	0.742	1071.499
0.001	0.743	1071.591
0.001	0.744	1071.684
0.001	0.745	1071.777
0.001	0.746	1071.869
0.001	0.747	1071.962
0.001	0.748	1072.055
0.001	0.749	1072.147
0.001	0.750	1072.240
0.001	0.751	1072.333
0.001	0.752	1072.425
0.001	0.753	1072.518
0.001	0.754	1072.611
0.001	0.755	1072.703
0.001	0.756	1072.796
0.001	0.757	1072.888
0.001	0.758	1072.981
0.001	0.759	1073.073
0.001	0.760	1073.166
0.001	0.761	1073.259
0.001	0.762	1073.351
0.001	0.763	1073.444
0.001	0.764	1073.536
0.001	0.765	1073.629
0.001	0.766	1073.721
0.001	0.767	1073.814
0.001	0.768	1073.906
0.001	0.769	1073.999
0.001	0.770	1074.091
0.001	0.771	1074.183
0.001	0.772	1074.276
0.001	0.773	1074.368
0.001	0.774	1074.461
0.001	0.775	1074.553
0.001	0.776	1074.646
0.001	0.777	1074.738
0.001	0.778	1074.830
0.001	0.779	1074.923
0.001	0.780	1075.015
0.001	0.781	1075.107
0.001	0.782	1075.200
0.001	0.783	1075.292
0.001	0.784	1075.384
0.001	0.785	1075.477
0.001	0.786	1075.569
0.001	0.787	1075.661
0.001	0.788	1075.754
0.001	0.789	1075.846
0.001	0.790	1075.938
0.001	0.791	1076.030
0.001	0.792	1076.123
0.001	0.793	1076.215
0.001	0.794	1076.307
0.001	0.795	1076.399
0.001	0.796	1076.491
0.001	0.797	1076.584
0.001	0.798	1076.676
0.001	0.799	1076.768
0.001	0.800	1076.860
0.001	0.801	1076.952
0.001	0.802	1077.044
0.001	0.803	1077.137
0.001	0.804	1077.229
0.001	0.805	1077.321
0.001	0.806	1077.413
0.001	0.807	1077.505
0.001	0.808	1077.597
0.001	0.809	1077.689
0.001	0.810	1077.781
0.001	0.811	1077.873
0.001	0.812	1077.965
0.001	0.813	1078.057
0.001	0.814	1078.149
0.001	0.815	1078.241
0.001	0.816	1078.333
0.001	0.817	1078.425
0.001	0.818	1078.517
0.001	0.819	1078.609
0.001	0.820	1078.701
0.001	0.821	1078.793
0.001	0.822	1078.885
0.001	0.823	1078.977
0.001	0.824	1079.069
0.001	0.825	1079.161
0.001	0.826	1079.253
0.001	0.827	1079.345
0.001	0.828	1079.437
0.001	0.829	1079.528
0.001	0.830	1079.620
0.001	0.831	1079.712
0.001	0.832	1079.804
0.001	0.833	1079.896
0.001	0.834	1079.988
0.001	0.835	1080.080
0.001	0.836	1080.171
0.001	0.837	1080.263
0.001	0.838	1080.355
0.001	0.839	1080.447
0.001	0.840	1080.538
0.001	0.841	1080.630
0.001	0.842	1080.722
0.001	0.843	1080.814
0.001	0.844	1080.905
0.001	0.845	1080.997
0.001	0.846	1081.089
0.001	0.847	1081.181
0.001	0.848	1081.272
0.001	0.849	1081.364
0.001	0.850	1081.456
0.001	0.851	1081.547
0.001	0.852	1081.639
0.001	0.853	1081.731
0.001	0.854	1081.822
0.001	0.855	1081.914
0.001	0.856	1082.005
0.001	0.857	1082.097
0.001	0.858	1082.189
0.001	0.859	1082.280
0.001	0.860	1082.372
0.001	0.861	1082.463
0.001	0.862	1082.555
0.001	0.863	1082.646
0.001	0.864	1082.738
0.001	0.865	1082.829
0.001	0.866	1082.921
0.001	0.867	1083.012
0.001	0.868	1083.104
0.001	0.869	1083.195
0.001	0.870	1083.287
0.001	0.871	1083.378
0.001	0.872	1083.470
0.001	0.873	1083.561
0.001	0.874	1083.653
0.001	0.875	1083.744
0.001	0.876	1083.836
0.001	0.877	1083.927
0.001	0.878	1084.018
0.001	0.879	1084.110
0.001	0.880	1084.201
0.001	0.881	1084.292
0.001	0.882	1084.384
0.001	0.883	1084.475
0.001	0.884	1084.567
0.001	0.885	1084.658
0.001	0.886	1084.749
0.001	0.887	1084.840
0.001	0.888	1084.932
0.001	0.889	1085.023
0.001	0.890	1085.114
0.001	0.891	1085.206
0.001	0.892	1085.297
0.001	0.893	1085.388
0.001	0.894	1085.479
0.001	0.895	1085.571
0.001	0.896	1085.662
0.001	0.897	1085.753
0.001	0.898	1085.844
0.001	0.899	1085.935
0.001	0.900	1086.027
0.001	0.901	1086.118
0.001	0.902	1086.209
0.001	0.903	1086.300
0.001	0.904	1086.391
0.001	0.905	1086.482
0.001	0.906	1086.573
0.001	0.907	1086.665
0.001	0.908	1086.756
0.001	0.909	1086.847
0.001	0.910	1086.938
0.001	0.911	1087.029
0.001	0.912	1087.120
0.001	0.913	1087.211
0.001	0.914	1087.302
0.001	0.915	1087.393
0.001	0.916	1087.484
0.001	0.917	1087.575
0.001	0.918	1087.666
0.001	0.919	1087.757
0.001	0.920	1087.848
0.001	0.921	1087.939
0.001	0.922	1088.030
0.001	0.923	1088.121
0.001	0.924	1088.212
0.001	0.925	1088.303
0.001	0.926	1088.394
0.001	0.927	1088.485
0.001	0.928	1088.576
0.001	0.929	1088.667
0.001	0.930	1088.757
0.001	0.931	1088.848
0.001	0.932	1088.939
0.001	0.933	1089.030
0.001	0.934	1089.121
0.001	0.935	1089.212
0.001	0.936	1089.303
0.001	0.937	1089.393
0.001	0.938	1089.484
0.001	0.939	1089.575
0.001	0.940	1089.666
0.001	0.941	1089.757
0.001	0.942	1089.847
0.001	0.943	1089.938
0.001	0.944	1090.029
0.001	0.945	1090.120
0.001	0.946	1090.210
0.001	0.947	1090.301
0.001	0.948	1090.392
0.001	0.949	1090.482
0.001	0.950	1090.573
0.001	0.951	1090.664
0.001	0.952	1090.754
0.001	0.953	1090.845
0.001	0.954	1090.936
0.001	0.955	1091.026
0.001	0.956	1091.117
0.001	0.957	1091.208
0.001	0.958	1091.298
0.001	0.959	1091.389
0.001	0.960	1091.479
0.001	0.961	1091.570
0.001	0.962	1091.661
0.001	0.963	1091.751
0.001	0.964	1091.842
0.001	0.965	1091.932
0.001	0.966	1092.023
0.001	0.967	1092.113
0.001	0.968	1092.204
0.001	0.969	1092.294
0.001	0.970	1092.385
0.001	0.971	1092.475
0.001	0.972	1092.566
0.001	0.973	1092.656
0.001	0.974	1092.747
0.001	0.975	1092.837
0.001	0.976	1092.928
0.001	0.977	1093.018
0.001	0.978	1093.108
0.001	0.979	1093.199
0.001	0.980	1093.289
0.001	0.981	1093.380
0.001	0.982	1093.470
0.001	0.983	1093.560
0.001	0.984	1093.651
0.001	0.985	1093.741
0.001	0.986	1093.831
0.001	0.987	1093.922
0.001	0.988	1094.012
0.001	0.989	1094.102
0.001	0.990	1094.193
0.001	0.991	1094.283
0.001	0.992	1094.373
0.001	0.993	1094.463
0.001	0.994	1094.554
0.001	0.995	1094.644
0.001	0.996	1094.734
0.001	0.997	1094.824
0.001	0.998	1094.915
0.001	0.999	1095.005
0.001	1.000	1095.095
0.001	1.001	1095.185
0.001	1.002	1095.275
0.001	1.003	1095.366
0.001	1.004	1095.456
0.001	1.005	1095.546
0.001	1.006	1095.636
0.001	1.007	1095.726
0.001	1.008	1095.816
0.001	1.009	1095.906
0.001	1.010	1095.997
0.001	1.011	1096.087
0.001	1.012	1096.177
0.001	1.013	1096.267
0.001	1.014	1096.357
0.001	1.015	1096.447
0.001	1.016	1096.537
0.001	1.017	1096.627
0.001	1.018	1096.717
0.001	1.019	1096.807
0.001	1.020	1096.897
0.001	1.021	1096.987
0.001	1.022	1097.077
0.001	1.023	1097.167
0.001	1.024	1097.257
0.001	1.025	1097.347
0.001	1.026	1097.437
0.001	1.027	1097.527
0.001	1.028	1097.617
0.001	1.029	1097.707
0.001	1.030	1097.797
0.001	1.031	1097.886
0.001	1.032	1097.976
0.001	1.033	1098.066
0.001	1.034	1098.156
0.001	1.035	1098.246
0.001	1.036	1098.336
0.001	1.037	1098.426
0.001	1.038	1098.515
0.001	1.039	1098.605
0.001	1.040	1098.695
0.001	1.041	1098.785
0.001	1.042	1098.875
0.001	1.043	1098.964
0.001	1.044	1099.054
0.001	1.045	1099.144
0.001	1.046	1099.234
0.001	1.047	1099.323
0.001	1.048	1099.413
0.001	1.049	1099.503
0.001	1.050	1099.593
0.001	1.051	1099.682
0.001	1.052	1099.772
0.001	1.053	1099.862
0.001	1.054	1099.951
